game_id,date,home_team,away_team,actual_h1,predicted_h1,error,abs_error,actual_fg,h1_fg_ratio
401261893,2021-01-01,Marist Red Foxes,Niagara Purple Eagles,49,60.4,11.399999999999999,11.399999999999999,124,0.3951612903225806
401257512,2021-01-01,Lipscomb Bisons,Liberty Flames,71,64.8,-6.200000000000003,6.200000000000003,147,0.48299319727891155
401253996,2021-01-01,Rice Owls,UTSA Roadrunners,90,71.0,-19.0,19.0,181,0.4972375690607735
401274395,2021-01-01,Montana State Bobcats,Montana-Western Bulldogs,80,61.3,-18.700000000000003,18.700000000000003,163,0.49079754601226994
401261862,2021-01-01,Fairfield Stags,Rider Broncs,64,65.6,1.5999999999999943,1.5999999999999943,132,0.48484848484848486
401257085,2021-01-01,Little Rock Trojans,UT Arlington Mavericks,81,65.1,-15.900000000000006,15.900000000000006,195,0.4153846153846154
401258547,2021-01-01,Robert Morris Colonials,Milwaukee Panthers,59,69.1,10.099999999999994,10.099999999999994,131,0.45038167938931295
401258529,2021-01-01,Northern Kentucky Norse,Purdue Fort Wayne Mastodons,70,64.7,-5.299999999999997,5.299999999999997,143,0.48951048951048953
401257083,2021-01-01,Coastal Carolina Chanticleers,Georgia State Panthers,72,67.8,-4.200000000000003,4.200000000000003,150,0.48
401257082,2021-01-01,Georgia Southern Eagles,South Alabama Jaguars,80,69.7,-10.299999999999997,10.299999999999997,147,0.54421768707483
