========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2024 (2023-11-01 to 2024-04-30)
 March Madness window: 2024-03-15 to 2024-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o4
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2023-11-01...
  [API] Requests remaining: 23357593
  Found 2 events
    Samford Bulldogs @ Purdue Boilermakers (twinspires): spread=-20.0, total=144.0, h1_spread=None, h1_total=None
    Samford Bulldogs @ Purdue Boilermakers (betrivers): spread=-20.0, total=144.0, h1_spread=-12.0, h1_total=None
    Samford Bulldogs @ Purdue Boilermakers (pointsbetus): spread=-19.0, total=144.0, h1_spread=None, h1_total=None
    Samford Bulldogs @ Purdue Boilermakers (lowvig): spread=-19.5, total=144.0, h1_spread=None, h1_total=None
    Samford Bulldogs @ Purdue Boilermakers (williamhill_us): spread=-20.0, total=144.0, h1_spread=-12.0, h1_total=68.0
    Samford Bulldogs @ Purdue Boilermakers (betonlineag): spread=-19.5, total=144.0, h1_spread=-12.0, h1_total=68.5
    Samford Bulldogs @ Purdue Boilermakers (barstool): spread=-19.5, total=144.5, h1_spread=None, h1_total=None
    Samford Bulldogs @ Purdue Boilermakers (bovada): spread=-19.5, total=144.0, h1_spread=None, h1_total=None
    Samford Bulldogs @ Purdue Boilermakers (betus): spread=-19.5, total=144.0, h1_spread=-12.0, h1_total=68.5
    Samford Bulldogs @ Purdue Boilermakers (superbook): spread=-20.5, total=143.5, h1_spread=None, h1_total=None
    Samford Bulldogs @ Purdue Boilermakers (betmgm): spread=-19.5, total=144.5, h1_spread=-11.5, h1_total=68.5
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (draftkings): spread=-32.5, total=134.5, h1_spread=-19.0, h1_total=63.0
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (unibet_us): spread=-32.5, total=134.5, h1_spread=-19.5, h1_total=None
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (twinspires): spread=-32.5, total=134.5, h1_spread=None, h1_total=None
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (betrivers): spread=-32.5, total=134.5, h1_spread=-19.5, h1_total=None
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (pointsbetus): spread=-32.0, total=134.5, h1_spread=None, h1_total=None
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (lowvig): spread=-32.5, total=134.5, h1_spread=None, h1_total=None
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (williamhill_us): spread=-32.0, total=134.5, h1_spread=None, h1_total=None
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (betonlineag): spread=-32.5, total=134.5, h1_spread=-19.0, h1_total=63.5
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (barstool): spread=-32.5, total=134.5, h1_spread=-17.5, h1_total=None
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (bovada): spread=None, total=134.0, h1_spread=-19.0, h1_total=63.0
