========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2025 (2024-11-01 to 2025-04-30)
 March Madness window: 2025-03-15 to 2025-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o5
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2024-11-01...
  [API] Requests remaining: 23357592
  Found 7 events
    Baylor Bears @ Gonzaga Bulldogs (fanduel): spread=-5.5, total=157.5, h1_spread=-3.5, h1_total=74.5
    Baylor Bears @ Gonzaga Bulldogs (betmgm): spread=-6.5, total=157.5, h1_spread=None, h1_total=75.5
    Baylor Bears @ Gonzaga Bulldogs (betrivers): spread=-6.0, total=156.5, h1_spread=-6.5, h1_total=76.0
    Baylor Bears @ Gonzaga Bulldogs (bovada): spread=-6.5, total=157.5, h1_spread=-3.0, h1_total=75.0
    Baylor Bears @ Gonzaga Bulldogs (betus): spread=-6.5, total=157.5, h1_spread=-3.5, h1_total=75.0

[INFO] Fetching 2024-11-02...
  [API] Requests remaining: 23356882
  Found 28 events
    Charleston Cougars @ Southern Illinois Salukis (fanduel): spread=3.5, total=147.5, h1_spread=1.5, h1_total=69.5
    Charleston Cougars @ Southern Illinois Salukis (draftkings): spread=4.5, total=146.5, h1_spread=1.5, h1_total=69.0
    Charleston Cougars @ Southern Illinois Salukis (lowvig): spread=4.0, total=146.0, h1_spread=None, h1_total=None
    Charleston Cougars @ Southern Illinois Salukis (betonlineag): spread=4.0, total=146.0, h1_spread=2.0, h1_total=69.5
    Charleston Cougars @ Southern Illinois Salukis (betmgm): spread=4.5, total=146.5, h1_spread=None, h1_total=69.5
    Charleston Cougars @ Southern Illinois Salukis (betrivers): spread=4.0, total=148.0, h1_spread=None, h1_total=None
    Charleston Cougars @ Southern Illinois Salukis (bovada): spread=5.0, total=146.0, h1_spread=2.5, h1_total=69.5
    Charleston Cougars @ Southern Illinois Salukis (betus): spread=4.5, total=146.0, h1_spread=2.5, h1_total=69.5
    Saint Louis Billikens @ Santa Clara Broncos (fanduel): spread=-1.5, total=158.5, h1_spread=-0.5, h1_total=75.5
    Saint Louis Billikens @ Santa Clara Broncos (betonlineag): spread=-2.0, total=157.0, h1_spread=-1.0, h1_total=75.0
    Saint Louis Billikens @ Santa Clara Broncos (lowvig): spread=-2.0, total=157.0, h1_spread=None, h1_total=None
    Saint Louis Billikens @ Santa Clara Broncos (draftkings): spread=-2.0, total=157.5, h1_spread=-1.0, h1_total=75.0
    Saint Louis Billikens @ Santa Clara Broncos (betmgm): spread=-1.5, total=156.5, h1_spread=None, h1_total=75.5
    Saint Louis Billikens @ Santa Clara Broncos (betrivers): spread=-2.5, total=157.0, h1_spread=None, h1_total=None
    Saint Louis Billikens @ Santa Clara Broncos (bovada): spread=-2.0, total=157.5, h1_spread=-1.0, h1_total=74.5
    Saint Louis Billikens @ Santa Clara Broncos (betus): spread=-2.0, total=157.0, h1_spread=-1.0, h1_total=75.0
    Denver Pioneers @ Stanford Cardinal (fanduel): spread=-17.5, total=147.5, h1_spread=-10.5, h1_total=69.5
    Denver Pioneers @ Stanford Cardinal (lowvig): spread=-17.0, total=148.5, h1_spread=None, h1_total=None
    Denver Pioneers @ Stanford Cardinal (betonlineag): spread=-17.0, total=148.5, h1_spread=-10.0, h1_total=70.5
    Denver Pioneers @ Stanford Cardinal (betmgm): spread=-17.5, total=148.5, h1_spread=None, h1_total=70.5
    Denver Pioneers @ Stanford Cardinal (draftkings): spread=-17.0, total=147.5, h1_spread=-10.5, h1_total=70.0
    Denver Pioneers @ Stanford Cardinal (betrivers): spread=-18.0, total=147.5, h1_spread=-9.5, h1_total=70.5
    Denver Pioneers @ Stanford Cardinal (bovada): spread=-17.0, total=147.5, h1_spread=-9.5, h1_total=69.5
    Denver Pioneers @ Stanford Cardinal (betus): spread=-17.0, total=147.5, h1_spread=-10.0, h1_total=70.0
    Texas A&M-CC Islanders @ Purdue Boilermakers (draftkings): spread=-24.0, total=145.5, h1_spread=-14.0, h1_total=69.0
    Texas A&M-CC Islanders @ Purdue Boilermakers (fanduel): spread=-24.5, total=145.5, h1_spread=-14.5, h1_total=69.5
    Texas A&M-CC Islanders @ Purdue Boilermakers (betmgm): spread=-24.5, total=145.5, h1_spread=None, h1_total=69.5
    Texas A&M-CC Islanders @ Purdue Boilermakers (betrivers): spread=-24.5, total=146.5, h1_spread=-14.5, h1_total=69.5
    Texas A&M-CC Islanders @ Purdue Boilermakers (lowvig): spread=-25.0, total=145.5, h1_spread=None, h1_total=None
    Texas A&M-CC Islanders @ Purdue Boilermakers (betonlineag): spread=-25.0, total=145.5, h1_spread=None, h1_total=None
    Texas A&M-CC Islanders @ Purdue Boilermakers (bovada): spread=-25.5, total=146.5, h1_spread=-13.5, h1_total=69.5
    Missouri St Bears @ Butler Bulldogs (fanduel): spread=-16.5, total=140.5, h1_spread=-10.5, h1_total=66.5
    Missouri St Bears @ Butler Bulldogs (betonlineag): spread=-17.0, total=140.5, h1_spread=-9.5, h1_total=65.5
